name,confirmed,recovered,death,new
阜新,8,-,-,0
铁岭,7,1,-,0
丹东,7,5,-,0
朝阳,6,2,-,0
鞍山,4,-,-,0
辽阳,3,3,-,0
本溪,3,3,-,0
营口,1,1,-,0
待确认,-,1,-,-
长春,45,19,-,0
四平,15,7,1,0
辽源,7,1,-,0
公主岭,6,2,-,0
延边,5,4,-,0
吉林市,5,4,-,0
通化,4,1,-,1
松原,2,2,-,0
白城,1,-,-,0
梅河口,1,1,-,0
兰州,36,20,2,-
天水,12,12,-,-
平凉,9,1,-,-
定西,9,8,-,-
甘南州,8,4,-,-
陇南,4,4,-,-
白银,4,1,-,-
临夏州,3,3,-,-
庆阳,3,2,-,-
张掖,2,2,-,-
金昌,1,1,-,-
待确认,-,7,-,-
乌鲁木齐,23,8,-,0
伊犁州,18,6,-,0
第四师,10,-,-,0
第八师,4,1,1,0
第九师,4,-,-,0
昌吉州,4,2,-,0
吐鲁番地区,3,1,-,0
巴音郭楞蒙古自治州,3,-,-,0
第十二师,3,-,-,0
第六师,2,-,-,0
第七师,1,1,-,0
阿克苏地区,1,1,-,0
包头,11,1,-,0
鄂尔多斯,11,3,-,0
锡林郭勒盟,9,1,-,0
赤峰,9,3,-,0
巴彦淖尔,8,0,-,0
呼伦贝尔,7,1,-,0
呼和浩特,7,2,-,0
通辽,7,0,-,0
乌兰察布,3,1,-,0
乌海,2,0,-,0
兴安盟,1,0,-,0
银川,33,27,-,0
吴忠,28,9,-,0
固原,5,3,-,0
中卫,3,3,-,0
宁东管委会,1,1,-,0
石嘴山,1,1,-,0
西宁,15,11,-,0
海北州,3,0,-,0
待确认,-,5,-,-
拉萨,1,1,-,-
