name,confirmed,recovered,death,added_date
山东,755,331,4,20200224
江苏,631,432,-,20200224
重庆,575,335,6,20200224
四川,527,263,3,20200224
黑龙江,480,224,12,20200224
北京,399,198,4,20200224
上海,335,261,3,20200224
河北,311,221,6,20200224
福建,293,174,1,20200224
广西,251,112,2,20200224
陕西,245,163,1,20200224
云南,174,115,2,20200224
海南,168,106,5,20200224
贵州,146,102,2,20200224
天津,135,81,3,20200224
山西,132,89,-,20200224
辽宁,121,75,1,20200224
吉林,93,54,1,20200224
甘肃,91,78,2,20200224
新疆,76,28,2,20200224
内蒙古,75,30,0,20200224
香港,74,12,2,20200224
宁夏,71,58,-,20200224
台湾,28,5,1,20200224
青海,18,18,-,20200224
澳门,10,6,-,20200224
西藏,1,1,-,20200224
湖北,43317,18906,2563,20200225
广东,515,825,7,20200225
河南,262,990,19,20200225
浙江,396,808,1,20200225
湖南,245,767,4,20200225
安徽,270,713,6,20200225
江西,251,682,1,20200225
山东,398,352,6,20200225
江苏,173,458,-,20200225
重庆,221,349,6,20200225
四川,239,287,3,20200225
黑龙江,227,241,12,20200225
北京,181,215,4,20200225
上海,65,268,3,20200225
河北,60,245,6,20200225
福建,87,206,1,20200225
广西,102,148,2,20200225
陕西,65,179,1,20200225
云南,43,129,2,20200225
海南,39,124,5,20200225
贵州,41,103,2,20200225
天津,41,91,3,20200225
山西,37,96,-,20200225
辽宁,37,83,1,20200225
吉林,29,63,1,20200225
甘肃,9,80,2,20200225
香港,63,19,2,20200225
新疆,44,30,2,20200225
内蒙古,41,34,0,20200225
宁夏,10,61,-,20200225
台湾,25,5,1,20200225
青海,0,18,0,20200225
澳门,4,6,-,20200225
西藏,0,1,-,20200225
湖北,63454,13572,2250,20200222
广东,1339,720,5,20200222
河南,1270,805,19,20200222
浙江,1205,702,1,20200222
湖南,1013,684,4,20200222
安徽,989,587,6,20200222
江西,934,555,1,20200222
山东,750,300,4,20200222
江苏,631,401,-,20200222
重庆,572,316,6,20200222
四川,526,245,3,20200222
黑龙江,479,192,12,20200222
北京,399,178,4,20200222
上海,335,227,3,20200222
河北,309,187,6,20200222
福建,293,155,1,20200222
广西,249,104,2,20200222
陕西,245,140,1,20200222
云南,174,107,2,20200222
海南,168,97,4,20200222
贵州,146,90,2,20200222
天津,135,62,3,20200222
山西,132,79,-,20200222
辽宁,121,66,1,20200222
吉林,91,46,1,20200222
甘肃,91,76,2,20200222
新疆,76,24,2,20200222
内蒙古,75,22,0,20200222
宁夏,71,48,-,20200222
香港,68,6,2,20200222
台湾,26,2,1,20200222
青海,18,18,-,20200222
澳门,10,6,-,20200222
西藏,1,1,-,20200222
湖北,51986,3862,1318,20200214
广东,1261,332,2,20200214
河南,1184,316,11,20200214
浙江,1155,367,-,20200214
湖南,988,363,2,20200214
安徽,934,166,6,20200214
江西,900,187,1,20200214
江苏,593,143,-,20200214
重庆,529,139,4,20200214
山东,523,111,2,20200214
四川,463,105,1,20200214
黑龙江,418,46,11,20200214
北京,372,79,3,20200214
上海,318,90,1,20200214
河北,283,74,3,20200214
福建,281,59,0,20200214
陕西,230,53,-,20200214
广西,226,35,2,20200214
云南,162,27,-,20200214
海南,158,30,4,20200214
贵州,140,28,1,20200214
山西,126,36,-,20200214
天津,120,21,3,20200214
辽宁,117,24,1,20200214
甘肃,91,39,2,20200214
吉林,86,25,1,20200214
宁夏,67,24,-,20200214
新疆,65,6,1,20200214
内蒙古,65,6,-,20200214
香港,53,1,1,20200214
青海,18,11,0,20200214
台湾,18,1,-,20200214
澳门,10,3,-,20200214
西藏,1,1,-,20200214
